common/audio/ffmpeg.py:5: error: Unused "type: ignore" comment  [unused-ignore]
common/audio/ffmpeg.py:19: error: Module has no attribute "probe"  [attr-defined]
common/audio/ffmpeg.py:28: error: Module has no attribute "input"  [attr-defined]
common/audio/ffmpeg.py:38: error: Module has no attribute "output"  [attr-defined]
common/audio/ffmpeg.py:41: error: Module has no attribute "run"  [attr-defined]

evals/transcription/src/core/ami/cache.py:51: error: Module has no attribute "input"  [attr-defined]
evals/transcription/src/core/ami/cache.py:52: error: Module has no attribute "output"  [attr-defined]
evals/transcription/src/core/ami/cache.py:60: error: Module has no attribute "run"  [attr-defined]


evals/transcription/src/core/runner.py:16: error: Function is missing a type annotation  [no-untyped-def]
evals/transcription/src/core/runner.py:23: error: Function is missing a type annotation  [no-untyped-def]
evals/transcription/src/core/runner.py:74: error: "object" has no attribute "append"  [attr-defined]
evals/transcription/src/core/runner.py:75: error: "object" has no attribute "add"  [attr-defined]
evals/transcription/src/core/runner.py:82: error: No overload variant of "sorted" matches argument types "object", "Callable[[Any], Any]"  [call-overload]
evals/transcription/src/core/runner.py:82: note: Possible overload variants:
evals/transcription/src/core/runner.py:82: note:     def [SupportsRichComparisonT: SupportsDunderLT[Any] | SupportsDunderGT[Any]] sorted(Iterable[SupportsRichComparisonT], /, *, key: None = ..., reverse: bool = ...) -> list[SupportsRichComparisonT]
evals/transcription/src/core/runner.py:82: note:     def [_T] sorted(Iterable[_T], /, *, key: Callable[[_T], SupportsDunderLT[Any] | SupportsDunderGT[Any]], reverse: bool = ...) -> list[_T]
evals/transcription/src/core/runner.py:82: error: No overload variant of "sorted" matches argument types "object", "Callable[[Any], Never]"  [call-overload]

evals/transcription/src/core/runner.py:91: error: Argument 1 to "float" has incompatible type "float | tuple[float, Ops]"; expected "str | Buffer | SupportsFloat | SupportsIndex"  [arg-type]

evals/transcription/src/core/runner.py:92: error: "object" has no attribute "rtf"  [attr-defined]
evals/transcription/src/core/runner.py:93: error: "object" has no attribute "process_sec"  [attr-defined]
evals/transcription/src/core/runner.py:94: error: "object" has no attribute "audio_sec"  [attr-defined]
evals/transcription/src/core/runner.py:105: error: Function is missing a return type annotation  [no-untyped-def]
evals/transcription/src/core/ami/audio.py:13: error: Returning Any from function declared to return "ndarray[Any, Any]"  [no-any-return]
evals/transcription/src/core/ami/audio.py:30: error: Returning Any from function declared to return "ndarray[Any, Any]"  [no-any-return]
evals/transcription/src/core/ami/loader.py:45: error: Function is missing a type annotation for one or more arguments  [no-untyped-def]
evals/transcription/src/core/ami/loader.py:109: error: Function is missing a type annotation for one or more arguments  [no-untyped-def]
evals/transcription/src/core/ami/loader.py:188: error: Function is missing a type annotation  [no-untyped-def]
evals/transcription/src/core/ami_dataset.py:9: error: Function is missing a return type annotation  [no-untyped-def]
evals/transcription/src/core/ami_dataset.py:18: error: Argument 1 to "_validate_dataset_contract" has incompatible type "Sample"; expected "dict[Any, Any]"  [arg-type]
evals/transcription/src/core/ami_dataset.py:23: error: Function is missing a return type annotation  [no-untyped-def]
evals/transcription/src/core/dataset.py:16: error: Function is missing a return type annotation  [no-untyped-def]
evals/transcription/src/core/dataset.py:32: error: Returning Any from function declared to return "str"  [no-any-return]
evals/transcription/src/core/dataset.py:48: error: Module has no attribute "input"  [attr-defined]
evals/transcription/src/core/dataset.py:49: error: Module has no attribute "output"  [attr-defined]
evals/transcription/src/core/dataset.py:57: error: Module has no attribute "run"  [attr-defined]
evals/transcription/src/adapters/whisper.py:19: error: Function is missing a return type annotation  [no-untyped-def]
evals/transcription/src/adapters/whisper.py:27: error: Item "None" of "list[DialogueEntry] | None" has no attribute "__iter__" (not iterable)  [union-attr]
evals/transcription/src/adapters/whisper.py:29: error: Argument 1 to "len" has incompatible type "list[DialogueEntry] | None"; expected "Sized"  [arg-type]
evals/transcription/src/adapters/azure.py:21: error: Function is missing a return type annotation  [no-untyped-def]
evals/transcription/src/adapters/azure.py:29: error: Item "None" of "list[DialogueEntry] | None" has no attribute "__iter__" (not iterable)  [union-attr]
evals/transcription/src/adapters/azure.py:31: error: Argument 1 to "len" has incompatible type "list[DialogueEntry] | None"; expected "Sized"  [arg-type]
evals/transcription/src/evaluate.py:21: error: Function is missing a return type annotation  [no-untyped-def]
evals/transcription/src/evaluate.py:93: error: Function is missing a return type annotation  [no-untyped-def]
evals/transcription/src/evaluate.py:93: note: Use "-> None" if function does not return a value
Found 42 errors in 11 files (checked 20 source files)
